id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
1201875,"Aripeka CDP, Florida",Florida,2014,observed,1,5.56,1,5.56,1,5.56
1201875,"Aripeka CDP, Florida",Florida,2015,observed,1,5.56,1,5.56,1,5.56
1201875,"Aripeka CDP, Florida",Florida,2016,observed,1,5.88,1,5.88,0,0
1201875,"Aripeka CDP, Florida",Florida,2017,observed,,,,,,
1201875,"Aripeka CDP, Florida",Florida,2018,observed,,,,,,
1202187,"Asbury Lake CDP, Florida",Florida,2000,observed,,,,,,
1202187,"Asbury Lake CDP, Florida",Florida,2001,observed,3,10.34,3,10.34,2,6.9
1202187,"Asbury Lake CDP, Florida",Florida,2002,observed,3,10.34,3,10.34,3,10.34
1202187,"Asbury Lake CDP, Florida",Florida,2003,observed,,,,,,
1202187,"Asbury Lake CDP, Florida",Florida,2004,observed,4,13.79,4,13.79,4,13.79
